Country,Federation,Pledge Type,ALICE,% of Req.,ATLAS,% of Req.,CMS,% of Req.,LHCb,% of Req.,SUM,% of Req.
USA,Great Lakes ATLAS T2,Disk (Tbytes),,,3000,4%,,,,,3000,4%
USA,LBNL ALICE Berkeley CA,CPU (HEP-SPEC06),12000,5%,,,,,,,12000,5%
USA,LBNL ALICE Berkeley CA,Disk (Tbytes),1000,4%,,,,,,,1000,4%
USA,MIT CMS T2,CPU (HEP-SPEC06),,,,,25000,4%,,,25000,4%
USA,MIT CMS T2,Disk (Tbytes),,,,,1360,4%,,,1360,4%
USA,Midwest ATLAS T2,CPU (HEP-SPEC06),,,36000,6%,,,,,36000,6%
USA,Midwest ATLAS T2,Disk (Tbytes),,,4500,6%,,,,,4500,6%
USA,Nebraska CMS T2,CPU (HEP-SPEC06),,,,,25000,4%,,,25000,4%
USA,Nebraska CMS T2,Disk (Tbytes),,,,,1360,4%,,,1360,4%
USA,Northeast ATLAS T2,CPU (HEP-SPEC06),,,24000,4%,,,,,24000,4%
USA,Northeast ATLAS T2,Disk (Tbytes),,,3000,4%,,,,,3000,4%
USA,Purdue CMS T2,CPU (HEP-SPEC06),,,,,25000,4%,,,25000,4%
USA,Purdue CMS T2,Disk (Tbytes),,,,,1360,4%,,,1360,4%
USA,SLAC ATLAS T2,CPU (HEP-SPEC06),,,24000,4%,,,,,24000,4%
USA,SLAC ATLAS T2,Disk (Tbytes),,,3000,4%,,,,,3000,4%
USA,Southwest ATLAS T2,CPU (HEP-SPEC06),,,24000,4%,,,,,24000,4%
USA,Southwest ATLAS T2,Disk (Tbytes),,,3000,4%,,,,,3000,4%
USA,U. Wisconsin CMS T2,CPU (HEP-SPEC06),,,,,25000,4%,,,25000,4%
USA,U. Wisconsin CMS T2,Disk (Tbytes),,,,,1360,4%,,,1360,4%
USA,UC San Diego CMS T2,CPU (HEP-SPEC06),,,,,25000,4%,,,25000,4%
USA,UC San Diego CMS T2,Disk (Tbytes),,,,,1360,4%,,,1360,4%
Ukraine,Ukrainian Tier-2 Federation,CPU (HEP-SPEC06),3000,1%,,,7500,1%,,,10500,1%
Ukraine,Ukrainian Tier-2 Federation,Disk (Tbytes),200,1%,,,650,2%,,,850,1%
